STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT09,WT13,WT14,WT16,WT17,WT18,WT22
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/11/2012 12:00:00 AM,11.41,,,0,0,0,,43,30,20,20,19.9,23,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/12/2012 12:00:00 AM,4.25,,,0,0,0,,43,29,30,30,13,15,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/13/2012 12:00:00 AM,2.91,,,0,0,0,,41,27,40,40,8.9,10.1,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/14/2012 12:00:00 AM,11.86,,,0.16,0,0,,40,33,220,220,25.9,34.9,1,,,,,,,1,,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/15/2012 12:00:00 AM,7.16,,,0.21,2.4,2,,34,26,200,190,17,21,1,,,,,,,1,,,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/16/2012 12:00:00 AM,11.18,,,0.1,0.1,2,,35,27,190,190,23,30,,,,,,,,1,,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/17/2012 12:00:00 AM,12.53,,,0.32,0,0,,38,32,220,190,21,29.1,1,,,,,,,1,,,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/18/2012 12:00:00 AM,11.18,,,0.78,6.8,1,,32,27,360,360,21,23.9,,,,,,,,,1,1,1,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/19/2012 12:00:00 AM,3.58,,,0.6,0.3,3,,30,27,300,300,12.1,12.1,,,,1,,,,,1,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/20/2012 12:00:00 AM,5.14,,,0.53,0,3,,45,30,130,120,17.9,21.9,1,,,,,,,,1,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/21/2012 12:00:00 AM,18.34,,,0.12,0,2,,47,38,200,190,33.1,47,1,,,,,,,,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/22/2012 12:00:00 AM,10.74,,,0.24,0,0,,44,36,160,150,25.9,42.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/23/2012 12:00:00 AM,8.05,,,0,0,0,,47,34,200,200,17,21,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/24/2012 12:00:00 AM,11.41,,,0.34,0,0,,50,36,240,230,38.9,51.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/25/2012 12:00:00 AM,12.08,,,0.32,0,0,,48,40,250,240,34.9,45,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/26/2012 12:00:00 AM,10.74,,,0.19,0,0,,48,34,220,210,28,38,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/27/2012 12:00:00 AM,3.13,,,0,0,0,,44,28,110,130,8.1,10.1,1,,,,,,,1,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/28/2012 12:00:00 AM,4.92,,,0,0,0,,44,33,200,210,10.1,14.1,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/29/2012 12:00:00 AM,10.07,,,1.09,0,0,,49,39,190,200,17.9,23.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/30/2012 12:00:00 AM,11.41,,,0.14,0,0,,47,43,220,220,23.9,32,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,01/31/2012 12:00:00 AM,8.72,,,0.07,0,0,,49,43,200,210,17.9,23.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/01/2012 12:00:00 AM,6.04,,,0.53,0,0,,48,38,360,10,19.9,25.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/02/2012 12:00:00 AM,5.82,,,0,0,0,,47,35,30,20,15,17.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/03/2012 12:00:00 AM,11.86,,,0,0,0,,58,36,120,120,23,29.1,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/04/2012 12:00:00 AM,9.62,,,0,0,0,,60,41,120,130,19.9,23.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/05/2012 12:00:00 AM,6.49,,,0,0,0,,57,35,20,100,14.1,16.1,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/06/2012 12:00:00 AM,11.18,,,0,0,0,,61,35,100,90,23,28,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/07/2012 12:00:00 AM,11.86,,,0.01,0,0,,60,46,100,90,23,31.1,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/08/2012 12:00:00 AM,6.04,,,0.11,0,0,,50,41,110,110,15,17,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/09/2012 12:00:00 AM,5.37,,,0.1,0,0,,52,46,90,90,16.1,19.9,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/10/2012 12:00:00 AM,6.71,,,0.1,0,0,,55,44,110,260,16.1,17.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/11/2012 12:00:00 AM,7.61,,,0.03,0,0,,48,42,200,210,15,19.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/12/2012 12:00:00 AM,2.91,,,0.04,0,0,,47,41,230,220,8.1,12.1,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/13/2012 12:00:00 AM,3.13,,,0.45,0,0,,45,40,350,350,8.9,10.1,,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/14/2012 12:00:00 AM,6.93,,,0.1,0,0,,44,34,190,190,17,21,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/15/2012 12:00:00 AM,4.03,,,0,0,0,,45,33,130,130,13,14.1,1,,,,,,,1,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/16/2012 12:00:00 AM,4.7,,,0.07,0,0,,45,38,90,190,13,15,,1,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/17/2012 12:00:00 AM,7.61,,,0.68,0,0,,50,40,210,180,25.1,36,1,1,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/18/2012 12:00:00 AM,18.12,,,0.25,0,0,,44,39,180,200,28,38,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/19/2012 12:00:00 AM,10.51,,,0,0,0,,44,36,220,220,23.9,30,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/20/2012 12:00:00 AM,6.49,,,0.12,0,0,,46,35,180,190,15,17.9,,,,,,1,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/21/2012 12:00:00 AM,16.78,,,0.03,0,0,,50,46,210,210,28,36.9,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/22/2012 12:00:00 AM,13.2,,,0.34,0,0,,50,37,210,210,28,38.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/23/2012 12:00:00 AM,8.72,,,0,0,0,,47,37,210,210,16.1,21,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/24/2012 12:00:00 AM,7.83,,,0.45,0,0,,44,40,210,210,17,23,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/25/2012 12:00:00 AM,14.32,,,0,0,0,,45,37,220,250,23.9,36,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/26/2012 12:00:00 AM,7.61,,,0.05,0,0,,41,30,220,190,17,21.9,,,,1,,,,,1,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/27/2012 12:00:00 AM,6.71,,,0,0,0,,44,28,30,30,16.1,21,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/28/2012 12:00:00 AM,9.4,,,0.14,0,0,,44,31,170,170,21,29.1,1,,,,,,,,,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,02/29/2012 12:00:00 AM,15.66,,,0.03,0,0,,41,34,190,200,29.1,38,1,,,,,,,,,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/01/2012 12:00:00 AM,6.93,,,0,0,0,,43,34,190,190,17,21.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/02/2012 12:00:00 AM,11.41,,,0.08,0,0,,44,39,190,200,17,21.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/03/2012 12:00:00 AM,15.66,,,0,0,0,,54,44,210,190,25.9,33.1,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/04/2012 12:00:00 AM,12.53,,,0,0,0,,51,44,220,220,21,25.1,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/05/2012 12:00:00 AM,13.87,,,0.27,0,0,,46,34,190,190,29.1,42.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/06/2012 12:00:00 AM,6.04,,,0.02,0,0,,44,32,10,20,16.1,21,1,,,,,,,1,,,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/07/2012 12:00:00 AM,6.04,,,0,0,0,,48,29,30,30,13,15,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/08/2012 12:00:00 AM,5.59,,,0,0,0,,60,33,240,90,13,28,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/09/2012 12:00:00 AM,6.26,,,0.14,0,0,,49,41,230,,14.1,,1,1,,,,,,,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/10/2012 12:00:00 AM,7.61,,,0.41,0,0,,45,43,220,240,16.1,21.9,,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/11/2012 12:00:00 AM,12.97,,,0.54,0,0,,44,37,200,200,23.9,30,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/12/2012 12:00:00 AM,13.87,,,0.76,0,0,,47,33,160,170,29.1,40,1,,,,,,,1,,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/13/2012 12:00:00 AM,11.86,,,0.37,0.9,0,,42,33,250,240,23.9,36.9,1,1,,,,,,,,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/14/2012 12:00:00 AM,10.51,,,0.34,0,0,,46,34,220,220,21,30,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/15/2012 12:00:00 AM,12.97,,,0.94,0,0,,52,42,160,230,29.1,38,,,,1,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/16/2012 12:00:00 AM,11.41,,,0.33,0,0,,48,39,220,210,21.9,30,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/17/2012 12:00:00 AM,8.5,,,0.37,0,0,,50,33,340,340,21,25.1,1,,,,,,,,1,1,,1,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/18/2012 12:00:00 AM,6.04,,,0.14,0,0,,41,31,140,130,14.1,16.1,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/19/2012 12:00:00 AM,6.71,,,0.08,0,0,,45,30,170,180,15,19.9,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/20/2012 12:00:00 AM,14.32,,,0.14,0,0,,46,36,210,220,28,36.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/21/2012 12:00:00 AM,5.59,,,0.05,0,0,,48,34,200,190,17,21,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/22/2012 12:00:00 AM,4.7,,,0.16,0,0,,50,35,200,180,13,15,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/23/2012 12:00:00 AM,6.26,,,0,0,0,,54,33,10,10,16.1,17.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/24/2012 12:00:00 AM,11.63,,,0,0,0,,59,38,10,10,17.9,21,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/25/2012 12:00:00 AM,6.04,,,0,0,0,,56,36,210,230,15,19.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/26/2012 12:00:00 AM,9.62,,,0,0,0,,55,43,220,230,17,21.9,,,,,,,,,1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/27/2012 12:00:00 AM,8.5,,,0.19,0,0,,58,44,240,250,19.9,25.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/28/2012 12:00:00 AM,13.2,,,0.05,0,0,,51,45,190,190,25.9,34.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/29/2012 12:00:00 AM,9.84,,,1.08,0,0,,50,43,160,180,23.9,32,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/30/2012 12:00:00 AM,10.51,,,0.22,0,0,,49,41,220,220,25.9,36.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,03/31/2012 12:00:00 AM,7.61,,,0.52,0,0,,50,37,20,360,21.9,25.1,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/01/2012 12:00:00 AM,15.21,,,0.06,0,0,,48,40,220,220,30,40.9,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/02/2012 12:00:00 AM,6.93,,,0,0,0,,62,40,170,180,15,17.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/03/2012 12:00:00 AM,6.93,,,0.06,0,0,,53,38,220,220,21,29.1,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/04/2012 12:00:00 AM,4.7,,,0,0,0,,51,37,260,260,15,17.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/05/2012 12:00:00 AM,4.03,,,0.18,0,0,,49,37,290,290,13,16.1,,,,1,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/06/2012 12:00:00 AM,5.82,,,0.01,0,0,,52,38,220,200,12.1,17,,,,,,,,,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/07/2012 12:00:00 AM,9.62,,,0,0,0,,61,35,360,360,21,25.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/08/2012 12:00:00 AM,9.17,,,0,0,0,,70,45,70,120,17,21.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/09/2012 12:00:00 AM,4.7,,,0,0,0,,68,43,20,30,16.1,19.9,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/10/2012 12:00:00 AM,7.16,,,0,0,0,,64,48,220,210,14.1,17.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/11/2012 12:00:00 AM,5.82,,,0.09,0,0,,52,45,160,220,13,17,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/12/2012 12:00:00 AM,5.82,,,0.02,0,0,,57,42,240,240,23,30,,,,,,1,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/13/2012 12:00:00 AM,8.95,,,0,0,0,,59,39,340,340,19.9,23,1,,,,,,,1,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/14/2012 12:00:00 AM,6.71,,,0,0,0,,60,38,210,210,12.1,16.1,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/15/2012 12:00:00 AM,6.49,,,0,0,0,,61,45,240,250,13,15,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/16/2012 12:00:00 AM,12.97,,,0.32,0,0,,56,44,210,210,25.1,33.1,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/17/2012 12:00:00 AM,4.47,,,0.07,0,0,,50,40,120,110,10.1,15,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/18/2012 12:00:00 AM,8.72,,,0.07,0,0,,56,45,220,210,17.9,21.9,1,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/19/2012 12:00:00 AM,5.82,,,0.43,0,0,,57,41,210,210,16.1,21.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/20/2012 12:00:00 AM,6.04,,,0.26,0,0,,56,44,210,220,17,21.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/21/2012 12:00:00 AM,5.14,,,0,0,0,,68,40,340,290,10.1,13,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/22/2012 12:00:00 AM,5.82,,,0,0,0,,74,47,20,10,16.1,17.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/23/2012 12:00:00 AM,7.83,,,0,0,0,,71,48,350,350,16.1,17,,,,,,,,,,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/24/2012 12:00:00 AM,6.26,,,0.17,0,0,,57,50,210,170,14.1,17.9,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/25/2012 12:00:00 AM,5.82,,,0.42,0,0,,62,48,250,260,17,23.9,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/26/2012 12:00:00 AM,11.63,,,0.15,0,0,,57,44,220,210,28,38,1,,,,,,,1,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/27/2012 12:00:00 AM,10.74,,,0.03,0,0,,56,43,210,230,19.9,25.9,,,,,,,,,,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/28/2012 12:00:00 AM,5.59,,,0,0,0,,61,47,240,190,12.1,17,,,,,,,,,1,,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/29/2012 12:00:00 AM,3.58,,,0.17,0,0,,60,48,250,250,14.1,17,1,,,,,,,1,1,1,,,
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",47.4444,-122.3138,112.8,04/30/2012 12:00:00 AM,17.9,,,0.17,0,0,,55,45,210,210,25.9,38,,,,,,,,1,1,1,,,
